"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.96","42.28","WINDSOR A","6139525","1940-01","1940","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-02","1940","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-03","1940","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-04","1940","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-05","1940","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-06","1940","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-07","1940","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-08","1940","08","26.4","","16.4","","21.4","","33.3","","6.7","","158.0","","0.0","","158.0","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-09","1940","09","22.4","","11.3","","16.9","","32.2","","0.6","","23.9","","0.0","","23.9","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-10","1940","10","16.2","","6.7","","11.5","","28.9","","-1.1","","75.9","","0.0","","75.9","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-11","1940","11","6.7","","-0.4","","3.2","","16.7","S","-7.2","S","55.1","","28.4","","83.6","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1940-12","1940","12","2.9","","-3.1","","-0.1","","13.3","","-15.0","","59.9","","12.7","","72.6","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-01","1941","01","-0.7","","-5.7","","-3.2","","8.3","","-15.0","","25.7","","34.8","","60.5","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-02","1941","02","-0.5","","-6.9","","-3.7","","8.9","","-13.9","","6.4","","17.0","","23.4","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-03","1941","03","2.9","","-4.9","","-1.0","","9.4","","-13.3","","31.2","","15.5","","46.7","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-04","1941","04","17.4","","4.8","","11.1","","29.4","","-2.8","","40.6","","0.0","","40.6","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-05","1941","05","23.0","","10.0","","16.5","","32.8","","1.1","S","82.3","","0.0","","82.3","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-06","1941","06","27.1","","15.1","","21.1","","36.1","","8.9","","60.7","","0.0","","60.7","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-07","1941","07","29.6","","17.4","","23.5","","38.3","","9.4","","41.9","","0.0","","41.9","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-08","1941","08","27.1","","15.8","","21.5","","35.6","","7.8","","100.6","","0.0","","100.6","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-09","1941","09","24.8","","13.8","","19.3","","32.2","","4.4","","32.5","","0.0","","32.5","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-10","1941","10","17.6","","8.1","","12.9","","26.7","S","-0.6","","138.7","","0.0","","138.7","","","","","","",""
"-82.96","42.28","WINDSOR A","6139525","1941-11","1941","11","9.1","","1.3","","5.2","","18.9","","-5.0","S","42.7","","4.3","","47.0","","","","","","",""
